,match,batsmanName,teamInings,out/not_out,runs,balls,Min,4s,6s,SR
0,India Vs Australia,Rohit Sharma (c),India,c Head b Maxwell,47,31,44,4,3,151.61
1,India Vs Australia,Shubman Gill,India,c Zampa b Starc,4,7,21,0,0,57.14
2,India Vs Australia,Virat Kohli,India,b Cummins,54,63,99,4,0,85.71
3,India Vs Australia,Shreyas Iyer,India,c †Inglis b Cummins,4,3,3,1,0,133.33
4,India Vs Australia,KL Rahul †,India,c †Inglis b Starc,66,107,133,1,0,61.68
5,India Vs Australia,Ravindra Jadeja,India,c †Inglis b Hazlewood,9,22,33,0,0,40.9
6,India Vs Australia,Suryakumar Yadav,India,c †Inglis b Hazlewood,18,28,57,1,0,64.28
7,India Vs Australia,Mohammed Shami,India,c †Inglis b Starc,6,10,9,1,0,60
8,India Vs Australia,Jasprit Bumrah,India,lbw b Zampa,1,3,5,0,0,33.33
9,India Vs Australia,Kuldeep Yadav,India,run out (Labuschagne/Cummins),10,18,28,0,0,55.55
10,India Vs Australia,Mohammed Siraj,India,not out,9,8,13,1,0,112.5
11,India Vs Australia,David Warner,Australia,c Kohli b Mohammed Shami,7,3,6,1,0,233.33
12,India Vs Australia,Travis Head,Australia,c Shubman Gill b Mohammed Siraj,137,120,166,15,4,114.16
13,India Vs Australia,Mitchell Marsh,Australia,c †Rahul b Bumrah,15,15,15,1,1,100
14,India Vs Australia,Steven Smith,Australia,lbw b Bumrah,4,9,11,1,0,44.44
15,India Vs Australia,Marnus Labuschagne,Australia,not out,58,110,133,4,0,52.72
16,India Vs Australia,Glenn Maxwell,Australia,not out,2,1,1,0,0,200
17,South Africa Vs Australia,Quinton de Kock †,South Africa,c Cummins b Hazlewood,3,14,27,0,0,21.42
18,South Africa Vs Australia,Temba Bavuma (c),South Africa,c †Inglis b Starc,0,4,5,0,0,0
19,South Africa Vs Australia,Rassie van der Dussen,South Africa,c Smith b Hazlewood,6,31,53,0,0,19.35
20,South Africa Vs Australia,Aiden Markram,South Africa,c Warner b Starc,10,20,24,2,0,50
21,South Africa Vs Australia,Heinrich Klaasen,South Africa,b Head,47,48,76,4,2,97.91
22,South Africa Vs Australia,David Miller,South Africa,c Head b Cummins,101,116,138,8,5,87.06
23,South Africa Vs Australia,Marco Jansen,South Africa,lbw b Head,0,1,1,0,0,0
24,South Africa Vs Australia,Gerald Coetzee,South Africa,c †Inglis b Cummins,19,39,42,2,0,48.71
25,South Africa Vs Australia,Keshav Maharaj,South Africa,c Smith b Starc,4,8,13,0,0,50
26,South Africa Vs Australia,Kagiso Rabada,South Africa,c Maxwell b Cummins,10,12,18,0,1,83.33
27,South Africa Vs Australia,Tabraiz Shamsi,South Africa,not out,1,5,11,0,0,20
28,South Africa Vs Australia,Travis Head,Australia,b Maharaj,62,48,62,9,2,129.16
29,South Africa Vs Australia,David Warner,Australia,b Markram,29,18,29,1,4,161.11
30,South Africa Vs Australia,Mitchell Marsh,Australia,c van der Dussen b Rabada,0,6,5,0,0,0
31,South Africa Vs Australia,Steven Smith,Australia,c †de Kock b Coetzee,30,62,102,2,0,48.38
32,South Africa Vs Australia,Marnus Labuschagne,Australia,lbw b Shamsi,18,31,28,2,0,58.06
33,South Africa Vs Australia,Glenn Maxwell,Australia,b Shamsi,1,5,8,0,0,20
34,South Africa Vs Australia,Josh Inglis †,Australia,b Coetzee,28,49,66,3,0,57.14
35,South Africa Vs Australia,Mitchell Starc,Australia,not out,16,38,61,2,0,42.1
36,South Africa Vs Australia,Pat Cummins (c),Australia,not out,14,29,32,2,0,48.27
37,India Vs New Zealand,Rohit Sharma (c),India,c Williamson b Southee,47,29,40,4,4,162.06
38,India Vs New Zealand,Shubman Gill,India,not out,80,66,116,8,3,121.21
39,India Vs New Zealand,Virat Kohli,India,c Conway b Southee,117,113,149,9,2,103.53
40,India Vs New Zealand,Shreyas Iyer,India,c Mitchell b Boult,105,70,114,4,8,150
41,India Vs New Zealand,KL Rahul †,India,not out,39,20,29,5,2,195
42,India Vs New Zealand,Suryakumar Yadav,India,c Phillips b Southee,1,2,2,0,0,50
43,India Vs New Zealand,Devon Conway,New Zealand,c †Rahul b Mohammed Shami,13,15,26,3,0,86.66
44,India Vs New Zealand,Rachin Ravindra,New Zealand,c †Rahul b Mohammed Shami,13,22,39,3,0,59.09
45,India Vs New Zealand,Kane Williamson (c),New Zealand,c Yadav b Mohammed Shami,69,73,116,8,1,94.52
46,India Vs New Zealand,Daryl Mitchell,New Zealand,c Jadeja b Mohammed Shami,134,119,180,9,7,112.6
47,India Vs New Zealand,Tom Latham †,New Zealand,lbw b Mohammed Shami,0,2,1,0,0,0
48,India Vs New Zealand,Glenn Phillips,New Zealand,c Jadeja b Bumrah,41,33,58,4,2,124.24
49,India Vs New Zealand,Mark Chapman,New Zealand,c Jadeja b Kuldeep Yadav,2,5,5,0,0,40
50,India Vs New Zealand,Mitchell Santner,New Zealand,c Sharma b Mohammed Siraj,9,10,20,0,0,90
51,India Vs New Zealand,Tim Southee,New Zealand,c †Rahul b Mohammed Shami,9,10,14,1,0,90
52,India Vs New Zealand,Trent Boult,New Zealand,not out,2,2,5,0,0,100
53,India Vs New Zealand,Lockie Ferguson,New Zealand,c †Rahul b Mohammed Shami,6,3,2,0,1,200
54,India Vs Netherlands,Rohit Sharma (c),India,c Barresi b de Leede,61,54,74,8,2,112.96
55,India Vs Netherlands,Shubman Gill,India,c Nidamanuru b van Meekeren,51,32,49,3,4,159.37
56,India Vs Netherlands,Virat Kohli,India,b van der Merwe,51,56,69,5,1,91.07
57,India Vs Netherlands,Shreyas Iyer,India,not out,128,94,145,10,5,136.17
58,India Vs Netherlands,KL Rahul †,India,c Engelbrecht b de Leede,102,64,98,11,4,159.37
59,India Vs Netherlands,Suryakumar Yadav,India,not out,2,1,1,0,0,200
60,India Vs Netherlands,Wesley Barresi,Netherlands,c †Rahul b Mohammed Siraj,4,5,8,0,0,80
61,India Vs Netherlands,Max O'Dowd,Netherlands,b Jadeja,30,42,68,3,1,71.42
62,India Vs Netherlands,Colin Ackermann,Netherlands,lbw b Kuldeep Yadav,35,32,46,6,0,109.37
63,India Vs Netherlands,Sybrand Engelbrecht,Netherlands,b Mohammed Siraj,45,80,87,4,0,56.25
64,India Vs Netherlands,Scott Edwards (c)†,Netherlands,c †Rahul b Kohli,17,30,27,1,0,56.66
65,India Vs Netherlands,Bas de Leede,Netherlands,b Bumrah,12,21,23,1,0,57.14
66,India Vs Netherlands,Teja Nidamanuru,Netherlands,c Mohammed Shami b Sharma,54,39,65,1,6,138.46
67,India Vs Netherlands,Logan van Beek,Netherlands,b Kuldeep Yadav,16,15,20,2,0,106.66
68,India Vs Netherlands,Roelof van der Merwe,Netherlands,c Mohammed Shami b Jadeja,16,8,5,1,2,200
69,India Vs Netherlands,Aryan Dutt,Netherlands,b Bumrah,5,11,9,0,0,45.45
70,India Vs Netherlands,Paul van Meekeren,Netherlands,not out,3,4,7,0,0,75
71,England Vs Pakistan,Dawid Malan,England,c †Mohammad Rizwan b Iftikhar Ahmed,31,39,61,5,0,79.48
72,England Vs Pakistan,Jonny Bairstow,England,c Agha Salman b Haris Rauf,59,61,81,7,1,96.72
73,England Vs Pakistan,Joe Root,England,c Shadab Khan b Shaheen Shah Afridi,60,72,115,4,0,83.33
74,England Vs Pakistan,Ben Stokes,England,b Shaheen Shah Afridi,84,76,85,11,2,110.52
75,England Vs Pakistan,Jos Buttler (c)†,England,run out (Haris Rauf),27,18,39,3,1,150
76,England Vs Pakistan,Harry Brook,England,c Shaheen Shah Afridi b Haris Rauf,30,17,24,2,2,176.47
77,England Vs Pakistan,Moeen Ali,England,b Haris Rauf,8,6,10,0,1,133.33
78,England Vs Pakistan,Chris Woakes,England,not out,4,4,19,1,0,100
79,England Vs Pakistan,David Willey,England,c Iftikhar Ahmed b Mohammad Wasim,15,5,5,2,1,300
80,England Vs Pakistan,Gus Atkinson,England,b Mohammad Wasim,0,1,1,0,0,0
81,England Vs Pakistan,Adil Rashid,England,not out,0,1,1,0,0,0
82,England Vs Pakistan,Abdullah Shafique,Pakistan,lbw b Willey,0,2,2,0,0,0
83,England Vs Pakistan,Fakhar Zaman,Pakistan,c Stokes b Willey,1,9,13,0,0,11.11
84,England Vs Pakistan,Babar Azam (c),Pakistan,c Rashid b Atkinson,38,45,58,6,0,84.44
85,England Vs Pakistan,Mohammad Rizwan †,Pakistan,b Ali,36,51,78,2,0,70.58
86,England Vs Pakistan,Saud Shakeel,Pakistan,b Rashid,29,37,52,4,0,78.37
87,England Vs Pakistan,Agha Salman,Pakistan,c Stokes b Willey,51,45,53,6,1,113.33
88,England Vs Pakistan,Iftikhar Ahmed,Pakistan,c Malan b Ali,3,5,8,0,0,60
89,England Vs Pakistan,Shadab Khan,Pakistan,b Rashid,4,7,4,1,0,57.14
90,England Vs Pakistan,Shaheen Shah Afridi,Pakistan,lbw b Atkinson,25,23,23,3,1,108.69
91,England Vs Pakistan,Mohammad Wasim,Pakistan,not out,16,14,33,2,1,114.28
92,England Vs Pakistan,Haris Rauf,Pakistan,c Stokes b Woakes,35,23,27,3,3,152.17
93,Bangladesh Vs Australia,Tanzid Hasan,Bangladesh,c & b Abbott,36,34,55,6,0,105.88
94,Bangladesh Vs Australia,Litton Das,Bangladesh,c Labuschagne b Zampa,36,45,76,5,0,80
95,Bangladesh Vs Australia,Najmul Hossain Shanto (c),Bangladesh,run out (Labuschagne/†Inglis),45,57,59,6,0,78.94
96,Bangladesh Vs Australia,Towhid Hridoy,Bangladesh,c Labuschagne b Stoinis,74,79,121,5,2,93.67
97,Bangladesh Vs Australia,Mahmudullah,Bangladesh,run out (Labuschagne),32,28,34,1,3,114.28
98,Bangladesh Vs Australia,Mushfiqur Rahim †,Bangladesh,c Cummins b Zampa,21,24,27,0,1,87.5
99,Bangladesh Vs Australia,Mehidy Hasan Miraz,Bangladesh,c Cummins b Abbott,29,20,33,4,0,145
100,Bangladesh Vs Australia,Nasum Ahmed,Bangladesh,run out (Abbott),7,11,15,0,0,63.63
101,Bangladesh Vs Australia,Mahedi Hasan,Bangladesh,not out,2,3,4,0,0,66.66
102,Bangladesh Vs Australia,Taskin Ahmed,Bangladesh,not out,0,1,2,0,0,0
103,Bangladesh Vs Australia,Travis Head,Australia,b Taskin Ahmed,10,11,11,2,0,90.9
104,Bangladesh Vs Australia,David Warner,Australia,c Najmul Hossain Shanto b Mustafizur Rahman,53,61,90,6,0,86.88
105,Bangladesh Vs Australia,Mitchell Marsh,Australia,not out,177,132,177,17,9,134.09
106,Bangladesh Vs Australia,Steven Smith,Australia,not out,63,64,99,4,1,98.43
107,Afghanistan Vs South Africa,Rahmanullah Gurbaz,Afghanistan,c Klaasen b Maharaj,25,22,45,3,1,113.63
108,Afghanistan Vs South Africa,Ibrahim Zadran,Afghanistan,c †de Kock b Coetzee,15,30,52,3,0,50
109,Afghanistan Vs South Africa,Rahmat Shah,Afghanistan,c Miller b Ngidi,26,46,58,2,0,56.52
110,Afghanistan Vs South Africa,Hashmatullah Shahidi (c),Afghanistan,c †de Kock b Maharaj,2,7,5,0,0,28.57
111,Afghanistan Vs South Africa,Azmatullah Omarzai,Afghanistan,not out,97,107,173,7,3,90.65
112,Afghanistan Vs South Africa,Ikram Alikhil †,Afghanistan,c †de Kock b Coetzee,12,14,16,1,1,85.71
113,Afghanistan Vs South Africa,Mohammad Nabi,Afghanistan,c †de Kock b Ngidi,2,3,7,0,0,66.66
114,Afghanistan Vs South Africa,Rashid Khan,Afghanistan,c †de Kock b Phehlukwayo,14,30,42,0,0,46.66
115,Afghanistan Vs South Africa,Noor Ahmad,Afghanistan,c †de Kock b Coetzee,26,32,36,4,0,81.25
116,Afghanistan Vs South Africa,Mujeeb Ur Rahman,Afghanistan,c Markram b Coetzee,8,5,7,0,1,160
117,Afghanistan Vs South Africa,Naveen-ul-Haq,Afghanistan,run out (Rabada),2,4,12,0,0,50
118,Afghanistan Vs South Africa,Quinton de Kock †,South Africa,lbw b Mohammad Nabi,41,47,58,2,3,87.23
119,Afghanistan Vs South Africa,Temba Bavuma (c),South Africa,c Rahmanullah Gurbaz b Mujeeb Ur Rahman,23,28,49,3,0,82.14
120,Afghanistan Vs South Africa,Rassie van der Dussen,South Africa,not out,76,95,141,6,1,80
121,Afghanistan Vs South Africa,Aiden Markram,South Africa,c Naveen-ul-Haq b Rashid Khan,25,32,32,1,1,78.12
122,Afghanistan Vs South Africa,Heinrich Klaasen,South Africa,b Rashid Khan,10,13,15,1,0,76.92
123,Afghanistan Vs South Africa,David Miller,South Africa,c & b Mohammad Nabi,24,33,35,1,1,72.72
124,Afghanistan Vs South Africa,Andile Phehlukwayo,South Africa,not out,39,37,46,1,3,105.4
125,Sri Lanka Vs New Zealand,Pathum Nissanka,Sri Lanka,c †Latham b Southee,2,8,9,0,0,25
126,Sri Lanka Vs New Zealand,Kusal Perera,Sri Lanka,c Santner b Ferguson,51,28,46,9,2,182.14
127,Sri Lanka Vs New Zealand,Kusal Mendis (c)†,Sri Lanka,c Ravindra b Boult,6,7,11,1,0,85.71
128,Sri Lanka Vs New Zealand,Sadeera Samarawickrama,Sri Lanka,c Mitchell b Boult,1,2,2,0,0,50
129,Sri Lanka Vs New Zealand,Charith Asalanka,Sri Lanka,lbw b Boult,8,8,16,1,0,100
130,Sri Lanka Vs New Zealand,Angelo Mathews,Sri Lanka,c Mitchell b Santner,16,27,33,2,0,59.25
131,Sri Lanka Vs New Zealand,Dhananjaya de Silva,Sri Lanka,c Mitchell b Santner,19,24,36,2,1,79.16
132,Sri Lanka Vs New Zealand,Chamika Karunaratne,Sri Lanka,c †Latham b Ferguson,6,17,28,1,0,35.29
133,Sri Lanka Vs New Zealand,Maheesh Theekshana,Sri Lanka,not out,38,91,109,3,0,41.75
134,Sri Lanka Vs New Zealand,Dushmantha Chameera,Sri Lanka,c Boult b Ravindra,1,20,32,0,0,5
135,Sri Lanka Vs New Zealand,Dilshan Madushanka,Sri Lanka,c †Latham b Ravindra,19,48,56,2,0,39.58
136,Sri Lanka Vs New Zealand,Devon Conway,New Zealand,c de Silva b Chameera,45,42,54,9,0,107.14
137,Sri Lanka Vs New Zealand,Rachin Ravindra,New Zealand,c de Silva b Theekshana,42,34,61,3,3,123.52
138,Sri Lanka Vs New Zealand,Kane Williamson (c),New Zealand,b Mathews,14,15,26,2,0,93.33
139,Sri Lanka Vs New Zealand,Daryl Mitchell,New Zealand,c Asalanka b Mathews,43,31,45,5,2,138.7
140,Sri Lanka Vs New Zealand,Mark Chapman,New Zealand,run out (Samarawickrama/Mathews),7,6,13,1,0,116.66
141,Sri Lanka Vs New Zealand,Glenn Phillips,New Zealand,not out,17,10,15,3,0,170
142,Sri Lanka Vs New Zealand,Tom Latham †,New Zealand,not out,2,2,3,0,0,100
143,England Vs Netherlands,Jonny Bairstow,England,c van Meekeren b Dutt,15,17,29,2,0,88.23
144,England Vs Netherlands,Dawid Malan,England,run out (†Edwards/van Beek),87,74,92,10,2,117.56
145,England Vs Netherlands,Joe Root,England,b van Beek,28,35,53,1,0,80
146,England Vs Netherlands,Ben Stokes,England,c Engelbrecht b van Beek,108,84,136,6,6,128.57
147,England Vs Netherlands,Harry Brook,England,c Ackermann b de Leede,11,16,19,2,0,68.75
148,England Vs Netherlands,Jos Buttler (c)†,England,c Nidamanuru b van Meekeren,5,11,12,0,0,45.45
149,England Vs Netherlands,Moeen Ali,England,c de Leede b Dutt,4,15,20,0,0,26.66
150,England Vs Netherlands,Chris Woakes,England,c †Edwards b de Leede,51,45,66,5,1,113.33
151,England Vs Netherlands,David Willey,England,c Engelbrecht b de Leede,6,2,1,0,1,300
152,England Vs Netherlands,Gus Atkinson,England,not out,2,1,7,0,0,200
153,England Vs Netherlands,Adil Rashid,England,not out,1,1,3,0,0,100
154,England Vs Netherlands,Wesley Barresi,Netherlands,run out (Woakes/Ali),37,62,77,3,1,59.67
155,England Vs Netherlands,Max O'Dowd,Netherlands,c Ali b Woakes,5,11,20,1,0,45.45
156,England Vs Netherlands,Colin Ackermann,Netherlands,c †Buttler b Willey,0,2,4,0,0,0
157,England Vs Netherlands,Sybrand Engelbrecht,Netherlands,c Woakes b Willey,33,49,73,3,1,67.34
158,England Vs Netherlands,Scott Edwards (c)†,Netherlands,c Malan b Ali,38,42,67,3,1,90.47
159,England Vs Netherlands,Bas de Leede,Netherlands,b Rashid,10,12,11,2,0,83.33
160,England Vs Netherlands,Teja Nidamanuru,Netherlands,not out,41,34,47,2,3,120.58
161,England Vs Netherlands,Logan van Beek,Netherlands,c Malan b Rashid,2,2,3,0,0,100
162,England Vs Netherlands,Roelof van der Merwe,Netherlands,c Rashid b Ali,0,4,3,0,0,0
163,England Vs Netherlands,Aryan Dutt,Netherlands,b Rashid,1,3,4,0,0,33.33
164,England Vs Netherlands,Paul van Meekeren,Netherlands,st †Buttler b Ali,4,3,3,1,0,133.33
165,Afghanistan Vs Australia,Rahmanullah Gurbaz,Afghanistan,c Starc b Hazlewood,21,25,38,2,0,84
166,Afghanistan Vs Australia,Ibrahim Zadran,Afghanistan,not out,129,143,217,8,3,90.2
167,Afghanistan Vs Australia,Rahmat Shah,Afghanistan,c Hazlewood b Maxwell,30,44,61,1,0,68.18
168,Afghanistan Vs Australia,Hashmatullah Shahidi (c),Afghanistan,b Starc,26,43,50,2,0,60.46
169,Afghanistan Vs Australia,Azmatullah Omarzai,Afghanistan,c Maxwell b Zampa,22,18,23,1,2,122.22
170,Afghanistan Vs Australia,Mohammad Nabi,Afghanistan,b Hazlewood,12,10,15,0,1,120
171,Afghanistan Vs Australia,Rashid Khan,Afghanistan,not out,35,18,25,2,3,194.44
172,Afghanistan Vs Australia,David Warner,Australia,b Azmatullah Omarzai,18,29,46,3,0,62.06
173,Afghanistan Vs Australia,Travis Head,Australia,c †Ikram Alikhil b Naveen-ul-Haq,0,2,5,0,0,0
174,Afghanistan Vs Australia,Mitchell Marsh,Australia,lbw b Naveen-ul-Haq,24,11,22,2,2,218.18
175,Afghanistan Vs Australia,Marnus Labuschagne,Australia,run out (Rahmat Shah),14,28,53,2,0,50
176,Afghanistan Vs Australia,Josh Inglis †,Australia,c Ibrahim Zadran b Azmatullah Omarzai,0,1,1,0,0,0
177,Afghanistan Vs Australia,Glenn Maxwell,Australia,not out,201,128,181,21,10,157.03
178,Afghanistan Vs Australia,Marcus Stoinis,Australia,lbw b Rashid Khan,6,7,13,1,0,85.71
179,Afghanistan Vs Australia,Mitchell Starc,Australia,c †Ikram Alikhil b Rashid Khan,3,7,8,0,0,42.85
180,Afghanistan Vs Australia,Pat Cummins (c),Australia,not out,12,68,122,1,0,17.64
181,Sri Lanka Vs Bangladesh,Pathum Nissanka,Sri Lanka,b Tanzim Hasan Sakib,41,36,61,8,0,113.88
182,Sri Lanka Vs Bangladesh,Kusal Perera,Sri Lanka,c †Mushfiqur Rahim b Shoriful Islam,4,5,5,1,0,80
183,Sri Lanka Vs Bangladesh,Kusal Mendis (c)†,Sri Lanka,c Shoriful Islam b Shakib Al Hasan,19,30,49,1,1,63.33
184,Sri Lanka Vs Bangladesh,Sadeera Samarawickrama,Sri Lanka,c Mahmudullah b Shakib Al Hasan,41,42,53,4,0,97.61
185,Sri Lanka Vs Bangladesh,Charith Asalanka,Sri Lanka,c Litton Das b Tanzim Hasan Sakib,108,105,159,6,5,102.85
186,Sri Lanka Vs Bangladesh,Angelo Mathews,Sri Lanka,timed out,0,0,4,0,0,-
187,Sri Lanka Vs Bangladesh,Dhananjaya de Silva,Sri Lanka,st †Mushfiqur Rahim b Mehidy Hasan Miraz,34,36,58,4,1,94.44
188,Sri Lanka Vs Bangladesh,Maheesh Theekshana,Sri Lanka,c sub (Nasum Ahmed) b Shoriful Islam,21,31,35,3,0,67.74
189,Sri Lanka Vs Bangladesh,Dushmantha Chameera,Sri Lanka,run out (†Mushfiqur Rahim),4,9,17,0,0,44.44
190,Sri Lanka Vs Bangladesh,Kasun Rajitha,Sri Lanka,c Litton Das b Tanzim Hasan Sakib,0,2,1,0,0,0
191,Sri Lanka Vs Bangladesh,Dilshan Madushanka,Sri Lanka,not out,0,1,3,0,0,0
192,Sri Lanka Vs Bangladesh,Tanzid Hasan,Bangladesh,c Nissanka b Madushanka,9,5,11,2,0,180
193,Sri Lanka Vs Bangladesh,Litton Das,Bangladesh,lbw b Madushanka,23,22,36,2,2,104.54
194,Sri Lanka Vs Bangladesh,Najmul Hossain Shanto,Bangladesh,b Mathews,90,101,163,12,0,89.1
195,Sri Lanka Vs Bangladesh,Shakib Al Hasan (c),Bangladesh,c Asalanka b Mathews,82,65,128,12,2,126.15
196,Sri Lanka Vs Bangladesh,Mahmudullah,Bangladesh,b Theekshana,22,23,37,3,1,95.65
197,Sri Lanka Vs Bangladesh,Mushfiqur Rahim †,Bangladesh,b Madushanka,10,13,21,1,0,76.92
198,Sri Lanka Vs Bangladesh,Towhid Hridoy,Bangladesh,not out,15,7,22,0,2,214.28
199,Sri Lanka Vs Bangladesh,Mehidy Hasan Miraz,Bangladesh,c Asalanka b Theekshana,3,5,9,0,0,60
200,Sri Lanka Vs Bangladesh,Tanzim Hasan Sakib,Bangladesh,not out,5,6,6,1,0,83.33
201,India Vs South Africa,Rohit Sharma (c),India,c Bavuma b Rabada,40,24,32,6,2,166.66
202,India Vs South Africa,Shubman Gill,India,b Maharaj,23,24,54,4,1,95.83
203,India Vs South Africa,Virat Kohli,India,not out,101,121,195,10,0,83.47
204,India Vs South Africa,Shreyas Iyer,India,c Markram b Ngidi,77,87,101,7,2,88.5
205,India Vs South Africa,KL Rahul †,India,c van der Dussen b Jansen,8,17,29,0,0,47.05
206,India Vs South Africa,Suryakumar Yadav,India,c †de Kock b Shamsi,22,14,19,5,0,157.14
207,India Vs South Africa,Ravindra Jadeja,India,not out,29,15,21,3,1,193.33
208,India Vs South Africa,Quinton de Kock †,South Africa,b Mohammed Siraj,5,10,9,1,0,50
209,India Vs South Africa,Temba Bavuma (c),South Africa,b Jadeja,11,19,39,1,0,57.89
210,India Vs South Africa,Rassie van der Dussen,South Africa,lbw b Mohammed Shami,13,32,55,1,0,40.62
211,India Vs South Africa,Aiden Markram,South Africa,c †Rahul b Mohammed Shami,9,6,6,2,0,150
212,India Vs South Africa,Heinrich Klaasen,South Africa,lbw b Jadeja,1,11,12,0,0,9.09
213,India Vs South Africa,David Miller,South Africa,b Jadeja,11,11,17,2,0,100
214,India Vs South Africa,Marco Jansen,South Africa,c Jadeja b Kuldeep Yadav,14,30,45,1,0,46.66
215,India Vs South Africa,Keshav Maharaj,South Africa,b Jadeja,7,11,7,1,0,63.63
216,India Vs South Africa,Kagiso Rabada,South Africa,c & b Jadeja,6,26,26,0,0,23.07
217,India Vs South Africa,Lungi Ngidi,South Africa,b Kuldeep Yadav,0,3,7,0,0,0
218,India Vs South Africa,Tabraiz Shamsi,South Africa,not out,4,4,3,1,0,100
219,Australia Vs England,Travis Head,Australia,c Root b Woakes,11,10,8,1,0,110
220,Australia Vs England,David Warner,Australia,c Willey b Woakes,15,16,29,1,1,93.75
221,Australia Vs England,Steven Smith,Australia,c Ali b Rashid,44,52,85,3,0,84.61
