,match,batsmanName,teamInings,out/not_out,runs,balls,Min,4s,6s,SR
439,Australia Vs Netherlands,Mitchell Marsh,Australia,c Ackermann b van Beek,9,15,15,2,0,60
440,Australia Vs Netherlands,David Warner,Australia,c Dutt b van Beek,104,93,182,11,3,111.82
441,Australia Vs Netherlands,Steven Smith,Australia,c van der Merwe b Dutt,71,68,88,9,1,104.41
442,Australia Vs Netherlands,Marnus Labuschagne,Australia,c Dutt b de Leede,62,47,60,7,2,131.91
443,Australia Vs Netherlands,Josh Inglis †,Australia,c Engelbrecht b de Leede,14,12,12,1,1,116.66
444,Australia Vs Netherlands,Glenn Maxwell,Australia,c Engelbrecht b van Beek,106,44,53,9,8,240.9
445,Australia Vs Netherlands,Cameron Green,Australia,run out (Engelbrecht),8,11,15,1,0,72.72
446,Australia Vs Netherlands,Pat Cummins (c),Australia,not out,12,9,39,2,0,133.33
447,Australia Vs Netherlands,Mitchell Starc,Australia,c Ackermann b van Beek,0,1,1,0,0,0
448,Australia Vs Netherlands,Adam Zampa,Australia,not out,1,1,2,0,0,100
449,Australia Vs Netherlands,Vikramjit Singh,Netherlands,run out (Maxwell),25,25,28,6,0,100
450,Australia Vs Netherlands,Max O'Dowd,Netherlands,b Starc,6,9,21,1,0,66.66
451,Australia Vs Netherlands,Colin Ackermann,Netherlands,lbw b Hazlewood,10,11,21,2,0,90.9
452,Australia Vs Netherlands,Sybrand Engelbrecht,Netherlands,c Warner b Marsh,11,21,36,1,0,52.38
453,Australia Vs Netherlands,Bas de Leede,Netherlands,lbw b Cummins,4,7,7,1,0,57.14
454,Australia Vs Netherlands,Scott Edwards (c)†,Netherlands,not out,12,22,53,0,0,54.54
455,Australia Vs Netherlands,Teja Nidamanuru,Netherlands,c †Inglis b Marsh,14,18,19,2,0,77.77
456,Australia Vs Netherlands,Logan van Beek,Netherlands,c †Inglis b Zampa,0,3,3,0,0,0
457,Australia Vs Netherlands,Roelof van der Merwe,Netherlands,lbw b Zampa,0,1,1,0,0,0
458,Australia Vs Netherlands,Aryan Dutt,Netherlands,lbw b Zampa,1,8,9,0,0,12.5
459,Australia Vs Netherlands,Paul van Meekeren,Netherlands,st †Inglis b Zampa,0,1,2,0,0,0
460,South Africa Vs Bangladesh,Quinton de Kock †,South Africa,c Nasum Ahmed b Hasan Mahmud,174,140,192,15,7,124.28
461,South Africa Vs Bangladesh,Reeza Hendricks,South Africa,b Shoriful Islam,12,19,24,1,0,63.15
462,South Africa Vs Bangladesh,Rassie van der Dussen,South Africa,lbw b Mehidy Hasan Miraz,1,7,6,0,0,14.28
463,South Africa Vs Bangladesh,Aiden Markram (c),South Africa,c Litton Das b Shakib Al Hasan,60,69,84,7,0,86.95
464,South Africa Vs Bangladesh,Heinrich Klaasen,South Africa,c Mahmudullah b Hasan Mahmud,90,49,94,2,8,183.67
465,South Africa Vs Bangladesh,David Miller,South Africa,not out,34,15,26,1,4,226.66
466,South Africa Vs Bangladesh,Marco Jansen,South Africa,not out,1,1,3,0,0,100
467,South Africa Vs Bangladesh,Tanzid Hasan,Bangladesh,c †Klaasen b Jansen,12,17,30,1,0,70.58
468,South Africa Vs Bangladesh,Litton Das,Bangladesh,lbw b Rabada,22,44,78,3,1,50
469,South Africa Vs Bangladesh,Najmul Hossain Shanto,Bangladesh,c †Klaasen b Jansen,0,1,1,0,0,0
470,South Africa Vs Bangladesh,Shakib Al Hasan (c),Bangladesh,c †Klaasen b Williams,1,4,4,0,0,25
471,South Africa Vs Bangladesh,Mushfiqur Rahim †,Bangladesh,c sub (AL Phehlukwayo) b Coetzee,8,17,24,1,0,47.05
472,South Africa Vs Bangladesh,Mahmudullah,Bangladesh,c Jansen b Coetzee,111,111,150,11,4,100
473,South Africa Vs Bangladesh,Mehidy Hasan Miraz,Bangladesh,c sub (AL Phehlukwayo) b Maharaj,11,19,26,1,0,57.89
474,South Africa Vs Bangladesh,Nasum Ahmed,Bangladesh,c & b Coetzee,19,19,27,3,0,100
475,South Africa Vs Bangladesh,Hasan Mahmud,Bangladesh,c Coetzee b Rabada,15,25,32,2,0,60
476,South Africa Vs Bangladesh,Mustafizur Rahman,Bangladesh,c Miller b Williams,11,21,51,2,0,52.38
477,South Africa Vs Bangladesh,Shoriful Islam,Bangladesh,not out,6,4,4,1,0,150
478,Pakistan Vs Afghanistan,Abdullah Shafique,Pakistan,lbw b Noor Ahmad,58,75,89,5,2,77.33
479,Pakistan Vs Afghanistan,Imam-ul-Haq,Pakistan,c Naveen-ul-Haq b Azmatullah Omarzai,17,22,44,2,0,77.27
480,Pakistan Vs Afghanistan,Babar Azam (c),Pakistan,c Mohammad Nabi b Noor Ahmad,74,92,121,4,1,80.43
481,Pakistan Vs Afghanistan,Mohammad Rizwan †,Pakistan,c Mujeeb Ur Rahman b Noor Ahmad,8,10,8,0,1,80
482,Pakistan Vs Afghanistan,Saud Shakeel,Pakistan,c Rashid Khan b Mohammad Nabi,25,34,35,3,0,73.52
483,Pakistan Vs Afghanistan,Shadab Khan,Pakistan,c Mohammad Nabi b Naveen-ul-Haq,40,38,75,1,1,105.26
484,Pakistan Vs Afghanistan,Iftikhar Ahmed,Pakistan,c Azmatullah Omarzai b Naveen-ul-Haq,40,27,40,2,4,148.14
485,Pakistan Vs Afghanistan,Shaheen Shah Afridi,Pakistan,not out,3,3,4,0,0,100
486,Pakistan Vs Afghanistan,Rahmanullah Gurbaz,Afghanistan,c Usama Mir b Shaheen Shah Afridi,65,53,91,9,1,122.64
487,Pakistan Vs Afghanistan,Ibrahim Zadran,Afghanistan,c †Mohammad Rizwan b Hasan Ali,87,113,146,10,0,76.99
488,Pakistan Vs Afghanistan,Rahmat Shah,Afghanistan,not out,77,84,129,5,2,91.66
489,Pakistan Vs Afghanistan,Hashmatullah Shahidi (c),Afghanistan,not out,48,45,74,4,0,106.66
490,New Zealand Vs India,Devon Conway,New Zealand,c Iyer b Mohammed Siraj,0,9,16,0,0,0
491,New Zealand Vs India,Will Young,New Zealand,b Mohammed Shami,17,27,41,3,0,62.96
492,New Zealand Vs India,Rachin Ravindra,New Zealand,c Shubman Gill b Mohammed Shami,75,87,133,6,1,86.2
493,New Zealand Vs India,Daryl Mitchell,New Zealand,c Kohli b Mohammed Shami,130,127,192,9,5,102.36
494,New Zealand Vs India,Tom Latham (c)†,New Zealand,lbw b Kuldeep Yadav,5,7,16,1,0,71.42
495,New Zealand Vs India,Glenn Phillips,New Zealand,c Sharma b Kuldeep Yadav,23,26,36,0,1,88.46
496,New Zealand Vs India,Mark Chapman,New Zealand,c Kohli b Bumrah,6,8,11,0,0,75
497,New Zealand Vs India,Mitchell Santner,New Zealand,b Mohammed Shami,1,2,3,0,0,50
498,New Zealand Vs India,Matt Henry,New Zealand,b Mohammed Shami,0,1,1,0,0,0
499,New Zealand Vs India,Lockie Ferguson,New Zealand,run out (†Rahul),1,5,12,0,0,20
500,New Zealand Vs India,Trent Boult,New Zealand,not out,0,1,1,0,0,0
501,New Zealand Vs India,Rohit Sharma (c),India,b Ferguson,46,40,44,4,4,115
502,New Zealand Vs India,Shubman Gill,India,c Mitchell b Ferguson,26,31,53,5,0,83.87
503,New Zealand Vs India,Virat Kohli,India,c Phillips b Henry,95,104,154,8,2,91.34
504,New Zealand Vs India,Shreyas Iyer,India,c Conway b Boult,33,29,32,6,0,113.79
505,New Zealand Vs India,KL Rahul †,India,lbw b Santner,27,35,43,3,0,77.14
506,New Zealand Vs India,Suryakumar Yadav,India,run out (Santner/Boult/†Latham),2,4,8,0,0,50
507,New Zealand Vs India,Ravindra Jadeja,India,not out,39,44,63,3,1,88.63
508,New Zealand Vs India,Mohammed Shami,India,not out,1,1,2,0,0,100
509,South Africa Vs England,Quinton de Kock †,South Africa,c †Buttler b Topley,4,2,3,1,0,200
510,South Africa Vs England,Reeza Hendricks,South Africa,b Rashid,85,75,111,9,3,113.33
511,South Africa Vs England,Rassie van der Dussen,South Africa,c Bairstow b Rashid,60,61,86,8,0,98.36
512,South Africa Vs England,Aiden Markram (c),South Africa,c Bairstow b Topley,42,44,63,4,0,95.45
513,South Africa Vs England,Heinrich Klaasen,South Africa,b Atkinson,109,67,119,12,4,162.68
514,South Africa Vs England,David Miller,South Africa,c Stokes b Topley,5,6,7,1,0,83.33
515,South Africa Vs England,Marco Jansen,South Africa,not out,75,42,72,3,6,178.57
516,South Africa Vs England,Gerald Coetzee,South Africa,c sub (LS Livingstone) b Atkinson,3,3,2,0,0,100
517,South Africa Vs England,Keshav Maharaj,South Africa,not out,1,1,1,0,0,100
518,South Africa Vs England,Jonny Bairstow,England,c van der Dussen b Ngidi,10,12,13,1,1,83.33
519,South Africa Vs England,Dawid Malan,England,c †de Kock b Jansen,6,11,30,1,0,54.54
520,South Africa Vs England,Joe Root,England,c Miller b Jansen,2,6,9,0,0,33.33
521,South Africa Vs England,Ben Stokes,England,c & b Rabada,5,8,20,1,0,62.5
522,South Africa Vs England,Harry Brook,England,lbw b Coetzee,17,25,33,2,1,68
523,South Africa Vs England,Jos Buttler (c)†,England,c †de Kock b Coetzee,15,7,14,2,1,214.28
524,South Africa Vs England,David Willey,England,c Rabada b Ngidi,12,12,24,1,1,100
525,South Africa Vs England,Adil Rashid,England,c Hendricks b Coetzee,10,14,14,1,0,71.42
526,South Africa Vs England,Gus Atkinson,England,b Maharaj,35,21,31,7,0,166.66
527,South Africa Vs England,Mark Wood,England,not out,43,17,25,2,5,252.94
528,South Africa Vs England,Reece Topley,England,absent hurt,-,-,-,-,-,-
529,Netherlands Vs Sri Lanka,Vikramjit Singh,Netherlands,lbw b Rajitha,4,13,17,1,0,30.76
530,Netherlands Vs Sri Lanka,Max O'Dowd,Netherlands,b Rajitha,16,27,50,1,1,59.25
531,Netherlands Vs Sri Lanka,Colin Ackermann,Netherlands,c †Mendis b Rajitha,29,31,42,5,0,93.54
532,Netherlands Vs Sri Lanka,Bas de Leede,Netherlands,c Perera b Madushanka,6,21,33,0,0,28.57
533,Netherlands Vs Sri Lanka,Teja Nidamanuru,Netherlands,lbw b Madushanka,9,16,32,0,0,56.25
534,Netherlands Vs Sri Lanka,Scott Edwards (c)†,Netherlands,b Theekshana,16,16,22,0,0,100
535,Netherlands Vs Sri Lanka,Sybrand Engelbrecht,Netherlands,b Madushanka,70,82,100,4,1,85.36
536,Netherlands Vs Sri Lanka,Logan van Beek,Netherlands,c Asalanka b Rajitha,59,75,108,1,1,78.66
537,Netherlands Vs Sri Lanka,Roelof van der Merwe,Netherlands,c †Mendis b Madushanka,7,7,12,0,0,100
538,Netherlands Vs Sri Lanka,Aryan Dutt,Netherlands,not out,9,6,14,1,0,150
539,Netherlands Vs Sri Lanka,Paul van Meekeren,Netherlands,run out (†Mendis/Madushanka),4,5,6,0,0,80
540,Netherlands Vs Sri Lanka,Pathum Nissanka,Sri Lanka,c †Edwards b van Meekeren,54,52,69,9,0,103.84
541,Netherlands Vs Sri Lanka,Kusal Perera,Sri Lanka,c de Leede b Dutt,5,8,17,1,0,62.5
542,Netherlands Vs Sri Lanka,Kusal Mendis (c)†,Sri Lanka,c van Meekeren b Dutt,11,17,22,2,0,64.7
543,Netherlands Vs Sri Lanka,Sadeera Samarawickrama,Sri Lanka,not out,91,107,168,7,0,85.04
544,Netherlands Vs Sri Lanka,Charith Asalanka,Sri Lanka,b Dutt,44,66,70,2,1,66.66
545,Netherlands Vs Sri Lanka,Dhananjaya de Silva,Sri Lanka,b Ackermann,30,37,57,1,2,81.08
546,Netherlands Vs Sri Lanka,Dushan Hemantha,Sri Lanka,not out,4,3,7,1,0,133.33
547,Australia Vs Pakistan,David Warner,Australia,c sub (Shadab Khan) b Haris Rauf,163,124,180,14,9,131.45
548,Australia Vs Pakistan,Mitchell Marsh,Australia,c Usama Mir b Shaheen Shah Afridi,121,108,139,10,9,112.03
549,Australia Vs Pakistan,Glenn Maxwell,Australia,c Babar Azam b Shaheen Shah Afridi,0,1,1,0,0,0
550,Australia Vs Pakistan,Steven Smith,Australia,c & b Usama Mir,7,9,17,0,0,77.77
551,Australia Vs Pakistan,Marcus Stoinis,Australia,lbw b Shaheen Shah Afridi,21,24,46,1,1,87.5
552,Australia Vs Pakistan,Josh Inglis †,Australia,c †Mohammad Rizwan b Haris Rauf,13,9,10,3,0,144.44
553,Australia Vs Pakistan,Marnus Labuschagne,Australia,c sub (Shadab Khan) b Haris Rauf,8,12,23,1,0,66.66
554,Australia Vs Pakistan,Pat Cummins (c),Australia,not out,6,8,17,0,0,75
555,Australia Vs Pakistan,Mitchell Starc,Australia,c Saud Shakeel b Shaheen Shah Afridi,2,3,3,0,0,66.66
556,Australia Vs Pakistan,Josh Hazlewood,Australia,c †Mohammad Rizwan b Shaheen Shah Afridi,0,1,1,0,0,0
557,Australia Vs Pakistan,Adam Zampa,Australia,not out,1,1,4,0,0,100
558,Australia Vs Pakistan,Abdullah Shafique,Pakistan,c Maxwell b Stoinis,64,61,93,7,2,104.91
559,Australia Vs Pakistan,Imam-ul-Haq,Pakistan,c Starc b Stoinis,70,71,107,10,0,98.59
560,Australia Vs Pakistan,Babar Azam (c),Pakistan,c Cummins b Zampa,18,14,27,3,0,128.57
561,Australia Vs Pakistan,Mohammad Rizwan †,Pakistan,lbw b Zampa,46,40,84,5,0,115
562,Australia Vs Pakistan,Saud Shakeel,Pakistan,c Stoinis b Cummins,30,31,37,5,0,96.77
563,Australia Vs Pakistan,Iftikhar Ahmed,Pakistan,lbw b Zampa,26,20,22,0,3,130
564,Australia Vs Pakistan,Mohammad Nawaz,Pakistan,st †Inglis b Zampa,14,16,19,0,1,87.5
565,Australia Vs Pakistan,Usama Mir,Pakistan,c Starc b Hazlewood,0,3,4,0,0,0
566,Australia Vs Pakistan,Shaheen Shah Afridi,Pakistan,c Labuschagne b Cummins,10,8,17,2,0,125
567,Australia Vs Pakistan,Hasan Ali,Pakistan,c †Inglis b Starc,8,8,7,2,0,100
568,Australia Vs Pakistan,Haris Rauf,Pakistan,not out,0,1,3,0,0,0
569,Bangladesh Vs India,Tanzid Hasan,Bangladesh,lbw b Kuldeep Yadav,51,43,75,5,3,118.6
570,Bangladesh Vs India,Litton Das,Bangladesh,c Shubman Gill b Jadeja,66,82,124,7,0,80.48
571,Bangladesh Vs India,Najmul Hossain Shanto (c),Bangladesh,lbw b Jadeja,8,17,18,0,0,47.05
572,Bangladesh Vs India,Mehidy Hasan Miraz,Bangladesh,c †Rahul b Mohammed Siraj,3,13,15,0,0,23.07
573,Bangladesh Vs India,Towhid Hridoy,Bangladesh,c Shubman Gill b Thakur,16,35,54,0,0,45.71
574,Bangladesh Vs India,Mushfiqur Rahim †,Bangladesh,c Jadeja b Bumrah,38,46,60,1,1,82.6
575,Bangladesh Vs India,Mahmudullah,Bangladesh,b Bumrah,46,36,60,3,3,127.77
576,Bangladesh Vs India,Nasum Ahmed,Bangladesh,c †Rahul b Mohammed Siraj,14,18,21,2,0,77.77
577,Bangladesh Vs India,Mustafizur Rahman,Bangladesh,not out,1,7,19,0,0,14.28
578,Bangladesh Vs India,Shoriful Islam,Bangladesh,not out,7,3,2,0,1,233.33
579,Bangladesh Vs India,Rohit Sharma (c),India,c Towhid Hridoy b Hasan Mahmud,48,40,51,7,2,120
580,Bangladesh Vs India,Shubman Gill,India,c Mahmudullah b Mehidy Hasan Miraz,53,55,80,5,2,96.36
581,Bangladesh Vs India,Virat Kohli,India,not out,103,97,113,6,4,106.18
582,Bangladesh Vs India,Shreyas Iyer,India,c Mahmudullah b Mehidy Hasan Miraz,19,25,38,2,0,76
583,Bangladesh Vs India,KL Rahul †,India,not out,34,34,44,3,1,100
584,New Zealand Vs Afghanistan,Devon Conway,New Zealand,lbw b Mujeeb Ur Rahman,20,18,27,3,0,111.11
585,New Zealand Vs Afghanistan,Will Young,New Zealand,c †Ikram Alikhil b Azmatullah Omarzai,54,64,98,4,3,84.37
586,New Zealand Vs Afghanistan,Rachin Ravindra,New Zealand,b Azmatullah Omarzai,32,41,64,2,1,78.04
587,New Zealand Vs Afghanistan,Daryl Mitchell,New Zealand,c Ibrahim Zadran b Rashid Khan,1,7,6,0,0,14.28
588,New Zealand Vs Afghanistan,Tom Latham (c)†,New Zealand,b Naveen-ul-Haq,68,74,114,3,2,91.89
589,New Zealand Vs Afghanistan,Glenn Phillips,New Zealand,c Rashid Khan b Naveen-ul-Haq,71,80,109,4,4,88.75
590,New Zealand Vs Afghanistan,Mark Chapman,New Zealand,not out,25,12,15,2,1,208.33
591,New Zealand Vs Afghanistan,Mitchell Santner,New Zealand,not out,7,5,13,1,0,140
592,New Zealand Vs Afghanistan,Rahmanullah Gurbaz,Afghanistan,b Henry,11,21,24,0,1,52.38
593,New Zealand Vs Afghanistan,Ibrahim Zadran,Afghanistan,c Santner b Boult,14,15,27,2,0,93.33
594,New Zealand Vs Afghanistan,Rahmat Shah,Afghanistan,c & b Ravindra,36,62,86,1,0,58.06
595,New Zealand Vs Afghanistan,Hashmatullah Shahidi (c),Afghanistan,c Santner b Ferguson,8,29,30,1,0,27.58
596,New Zealand Vs Afghanistan,Azmatullah Omarzai,Afghanistan,c †Latham b Boult,27,32,39,2,0,84.37
597,New Zealand Vs Afghanistan,Ikram Alikhil †,Afghanistan,not out,19,21,42,3,0,90.47
598,New Zealand Vs Afghanistan,Mohammad Nabi,Afghanistan,b Santner,7,9,10,1,0,77.77
599,New Zealand Vs Afghanistan,Rashid Khan,Afghanistan,c Mitchell b Ferguson,8,13,10,0,1,61.53
600,New Zealand Vs Afghanistan,Mujeeb Ur Rahman,Afghanistan,c Young b Ferguson,4,3,2,1,0,133.33
601,New Zealand Vs Afghanistan,Naveen-ul-Haq,Afghanistan,c Chapman b Santner,0,1,1,0,0,0
602,New Zealand Vs Afghanistan,Fazalhaq Farooqi,Afghanistan,c Mitchell b Santner,0,2,1,0,0,0
603,Netherlands Vs South Africa,Vikramjit Singh,Netherlands,c Klaasen b Rabada,2,16,28,0,0,12.5
604,Netherlands Vs South Africa,Max O'Dowd,Netherlands,c †de Kock b Jansen,18,25,33,4,0,72
605,Netherlands Vs South Africa,Colin Ackermann,Netherlands,b Coetzee,12,25,40,1,0,48
606,Netherlands Vs South Africa,Bas de Leede,Netherlands,lbw b Rabada,2,7,16,0,0,28.57
607,Netherlands Vs South Africa,Sybrand Engelbrecht,Netherlands,c Jansen b Ngidi,19,37,41,1,1,51.35
608,Netherlands Vs South Africa,Teja Nidamanuru,Netherlands,lbw b Jansen,20,25,56,3,0,80
609,Netherlands Vs South Africa,Scott Edwards (c)†,Netherlands,not out,78,69,102,10,1,113.04
610,Netherlands Vs South Africa,Logan van Beek,Netherlands,st †de Kock b Maharaj,10,27,22,1,0,37.03
611,Netherlands Vs South Africa,Roelof van der Merwe,Netherlands,c †de Kock b Ngidi,29,19,30,3,1,152.63
612,Netherlands Vs South Africa,Aryan Dutt,Netherlands,not out,23,9,14,0,3,255.55
613,Netherlands Vs South Africa,Temba Bavuma (c),South Africa,b van der Merwe,16,31,35,2,1,51.61
614,Netherlands Vs South Africa,Quinton de Kock †,South Africa,c †Edwards b Ackermann,20,22,28,3,0,90.9
615,Netherlands Vs South Africa,Rassie van der Dussen,South Africa,c Dutt b van der Merwe,4,7,16,0,0,57.14
616,Netherlands Vs South Africa,Aiden Markram,South Africa,b van Meekeren,1,3,4,0,0,33.33
617,Netherlands Vs South Africa,Heinrich Klaasen,South Africa,c Vikramjit Singh b van Beek,28,28,36,4,0,100
618,Netherlands Vs South Africa,David Miller,South Africa,b van Beek,43,52,81,4,1,82.69
619,Netherlands Vs South Africa,Marco Jansen,South Africa,b van Meekeren,9,25,22,0,0,36
620,Netherlands Vs South Africa,Gerald Coetzee,South Africa,c †Edwards b de Leede,22,23,33,2,1,95.65
621,Netherlands Vs South Africa,Keshav Maharaj,South Africa,c †Edwards b van Beek,40,37,54,5,1,108.1
622,Netherlands Vs South Africa,Kagiso Rabada,South Africa,c Engelbrecht b de Leede,9,6,9,0,1,150
623,Netherlands Vs South Africa,Lungi Ngidi,South Africa,not out,7,24,35,0,0,29.16
624,Sri Lanka Vs Australia,Pathum Nissanka,Sri Lanka,c Warner b Cummins,61,67,103,8,0,91.04
625,Sri Lanka Vs Australia,Kusal Perera,Sri Lanka,b Cummins,78,82,123,12,0,95.12
626,Sri Lanka Vs Australia,Kusal Mendis (c)†,Sri Lanka,c Warner b Zampa,9,13,27,0,0,69.23
627,Sri Lanka Vs Australia,Sadeera Samarawickrama,Sri Lanka,lbw b Zampa,8,8,15,1,0,100
628,Sri Lanka Vs Australia,Charith Asalanka,Sri Lanka,c Labuschagne b Maxwell,25,39,75,0,1,64.1
629,Sri Lanka Vs Australia,Dhananjaya de Silva,Sri Lanka,b Starc,7,13,13,1,0,53.84
630,Sri Lanka Vs Australia,Dunith Wellalage,Sri Lanka,run out (Cummins),2,9,9,0,0,22.22
631,Sri Lanka Vs Australia,Chamika Karunaratne,Sri Lanka,lbw b Zampa,2,11,12,0,0,18.18
632,Sri Lanka Vs Australia,Maheesh Theekshana,Sri Lanka,lbw b Zampa,0,5,7,0,0,0
633,Sri Lanka Vs Australia,Lahiru Kumara,Sri Lanka,b Starc,4,8,6,1,0,50
634,Sri Lanka Vs Australia,Dilshan Madushanka,Sri Lanka,not out,0,6,12,0,0,0
635,Sri Lanka Vs Australia,Mitchell Marsh,Australia,run out (Karunaratne/†Mendis),52,51,67,9,0,101.96
636,Sri Lanka Vs Australia,David Warner,Australia,lbw b Madushanka,11,6,16,0,1,183.33
637,Sri Lanka Vs Australia,Steven Smith,Australia,lbw b Madushanka,0,5,4,0,0,0
638,Sri Lanka Vs Australia,Marnus Labuschagne,Australia,c Karunaratne b Madushanka,40,60,100,2,0,66.66
639,Sri Lanka Vs Australia,Josh Inglis †,Australia,c Theekshana b Wellalage,58,59,75,5,1,98.3
640,Sri Lanka Vs Australia,Glenn Maxwell,Australia,not out,31,21,30,4,2,147.61
641,Sri Lanka Vs Australia,Marcus Stoinis,Australia,not out,20,10,10,2,1,200
642,Afghanistan Vs England,Rahmanullah Gurbaz,Afghanistan,run out (sub [DJ Willey]/†Buttler),80,57,87,8,4,140.35
643,Afghanistan Vs England,Ibrahim Zadran,Afghanistan,c Root b Rashid,28,48,73,3,0,58.33
644,Afghanistan Vs England,Rahmat Shah,Afghanistan,st †Buttler b Rashid,3,8,10,0,0,37.5
645,Afghanistan Vs England,Hashmatullah Shahidi (c),Afghanistan,b Root,14,36,46,0,0,38.88
646,Afghanistan Vs England,Azmatullah Omarzai,Afghanistan,c Woakes b Livingstone,19,24,25,1,1,79.16
647,Afghanistan Vs England,Ikram Alikhil †,Afghanistan,c Curran b Topley,58,66,92,3,2,87.87
648,Afghanistan Vs England,Mohammad Nabi,Afghanistan,c Root b Wood,9,15,14,1,0,60
649,Afghanistan Vs England,Rashid Khan,Afghanistan,c Root b Rashid,23,22,37,3,0,104.54
650,Afghanistan Vs England,Mujeeb Ur Rahman,Afghanistan,c Root b Wood,28,16,22,3,1,175
651,Afghanistan Vs England,Naveen-ul-Haq,Afghanistan,run out (†Buttler),5,6,9,1,0,83.33
652,Afghanistan Vs England,Fazalhaq Farooqi,Afghanistan,not out,2,4,7,0,0,50
653,Afghanistan Vs England,Jonny Bairstow,England,lbw b Fazalhaq Farooqi,2,4,5,0,0,50
654,Afghanistan Vs England,Dawid Malan,England,c Ibrahim Zadran b Mohammad Nabi,32,39,61,4,0,82.05
